Channel,Frame Type,Frame Format,Frame ID,Direction,Length,Datas(Hex),Status,Time
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 6C 60 00 00 00 00 00 ,Success,00:10:30.594.900
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,43 6C 60 00 00 00 00 00 ,Success,00:10:30.595.100
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 15 22 00 00 00 00 00 ,Success,00:10:30.595.300
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,4B 15 22 00 9C FF 00 00 ,Success,00:10:30.595.500
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 64 60 00 00 00 00 00 ,Success,00:10:30.847.300
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,43 64 60 00 17 18 FE FF ,Success,00:10:30.847.500
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 6C 60 00 00 00 00 00 ,Success,00:10:30.847.600
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,43 6C 60 00 00 00 00 00 ,Success,00:10:30.847.800
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 15 22 00 00 00 00 00 ,Success,00:10:30.848.000
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,4B 15 22 00 9A FF 00 00 ,Success,00:10:30.848.200
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 64 60 00 00 00 00 00 ,Success,00:10:31.100.100
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,43 64 60 00 17 18 FE FF ,Success,00:10:31.100.200
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 6C 60 00 00 00 00 00 ,Success,00:10:31.100.400
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,43 6C 60 00 00 00 00 00 ,Success,00:10:31.100.600
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 15 22 00 00 00 00 00 ,Success,00:10:31.100.800
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,4B 15 22 00 9D FF 00 00 ,Success,00:10:31.101.000
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 64 60 00 00 00 00 00 ,Success,00:10:31.352.700
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,43 64 60 00 17 18 FE FF ,Success,00:10:31.352.800
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 6C 60 00 00 00 00 00 ,Success,00:10:31.353.000
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,43 6C 60 00 00 00 00 00 ,Success,00:10:31.353.200
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 15 22 00 00 00 00 00 ,Success,00:10:31.353.400
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,4B 15 22 00 9D FF 00 00 ,Success,00:10:31.353.600
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 64 60 00 00 00 00 00 ,Success,00:10:31.605.400
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,43 64 60 00 17 18 FE FF ,Success,00:10:31.605.600
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 6C 60 00 00 00 00 00 ,Success,00:10:31.605.800
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,43 6C 60 00 00 00 00 00 ,Success,00:10:31.606.000
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 15 22 00 00 00 00 00 ,Success,00:10:31.606.200
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,4B 15 22 00 9A FF 00 00 ,Success,00:10:31.606.400
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 64 60 00 00 00 00 00 ,Success,00:10:31.858.300
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,43 64 60 00 17 18 FE FF ,Success,00:10:31.858.400
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 6C 60 00 00 00 00 00 ,Success,00:10:31.858.600
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,43 6C 60 00 00 00 00 00 ,Success,00:10:31.858.800
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 15 22 00 00 00 00 00 ,Success,00:10:31.859.000
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,4B 15 22 00 9D FF 00 00 ,Success,00:10:31.859.200
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 64 60 00 00 00 00 00 ,Success,00:10:32.111.000
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,43 64 60 00 17 18 FE FF ,Success,00:10:32.111.100
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 6C 60 00 00 00 00 00 ,Success,00:10:32.111.300
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,43 6C 60 00 00 00 00 00 ,Success,00:10:32.111.600
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 15 22 00 00 00 00 00 ,Success,00:10:32.111.800
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,4B 15 22 00 9C FF 00 00 ,Success,00:10:32.112.000
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 64 60 00 00 00 00 00 ,Success,00:10:32.363.800
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,43 64 60 00 17 18 FE FF ,Success,00:10:32.363.900
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 6C 60 00 00 00 00 00 ,Success,00:10:32.364.100
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,43 6C 60 00 00 00 00 00 ,Success,00:10:32.364.300
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 15 22 00 00 00 00 00 ,Success,00:10:32.364.500
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,4B 15 22 00 9B FF 00 00 ,Success,00:10:32.364.700
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 64 60 00 00 00 00 00 ,Success,00:10:32.616.600
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,43 64 60 00 17 18 FE FF ,Success,00:10:32.616.700
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 6C 60 00 00 00 00 00 ,Success,00:10:32.616.900
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,43 6C 60 00 00 00 00 00 ,Success,00:10:32.617.100
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 15 22 00 00 00 00 00 ,Success,00:10:32.617.300
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,4B 15 22 00 9D FF 00 00 ,Success,00:10:32.617.500
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 64 60 00 00 00 00 00 ,Success,00:10:32.869.200
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,43 64 60 00 17 18 FE FF ,Success,00:10:32.869.400
